Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
0.12905317769130983,0.5414979836012792,False,False,False,False,True,False,False,False,False
-0.3767833981841764,0.10640567898353033,False,False,False,True,False,False,False,False,False
0.06420233463035008,-1.0362678435074113,False,False,False,False,False,False,False,False,True
0.4027237354085602,-0.13434539623829092,False,False,False,True,False,False,False,False,False
1.179636835278858,-0.3182525102395726,False,False,False,False,False,False,True,False,False
0.6154345006485079,0.3072330976545949,False,False,False,False,False,True,False,False,False
0.12256809338521377,0.3278374060637649,False,False,True,False,False,False,False,False,False
1.0045395590142665,0.5366636246610823,False,False,False,True,False,False,False,False,False
-1.8664072632944222,-4.756931193830693,False,False,True,False,False,False,False,False,False
-0.5453955901426719,-0.749275853431376,False,False,False,False,True,False,False,False,False
0.2717250324254213,-0.04713253961900727,False,False,False,False,False,True,False,False,False
2.9954604409857315,1.321723726423358,False,False,False,False,False,False,False,True,False
-0.013618677042801607,0.05260586568957206,False,False,False,False,False,False,True,False,False
1.2444876783398178,2.233523612670303,False,False,False,False,False,False,False,False,True
-0.42866407263294426,-0.9347668729546484,False,False,True,False,False,False,False,False,False
0.2392996108949414,-0.2634455384135464,False,False,False,False,False,True,False,False,False
0.20687418936446153,0.12873093989761686,False,False,False,False,False,True,False,False,False
-0.5259403372243839,-0.053128166042977466,False,False,False,True,False,False,False,False,False
-0.6815823605706873,-0.7670700198096454,False,False,False,False,False,True,False,False,False
-0.5350194552529184,-0.23296631861831363,False,False,False,True,False,False,False,False,False
0.3949416342412448,-1.1795337991089272,False,False,False,True,False,False,False,False,False
-0.27950713359273677,0.17280171215219536,False,False,True,False,False,False,False,False,False
-0.44163424124513617,-0.7154353408499954,False,False,False,False,False,False,False,False,True
-0.32490272373540857,0.16925234520609392,False,False,False,True,False,False,False,False,False
-0.559662775616083,-0.509975085891614,False,False,False,True,False,False,False,False,False
0.7256809338521397,0.8799069608514183,False,False,False,False,False,True,False,False,False
1.2684824902723728,-0.2962964207348972,False,False,False,True,False,False,False,False,False
-0.5363164721141375,-0.4432609325168927,False,False,False,True,False,False,False,False,False
-0.5713359273670557,0.44481080479733504,False,False,False,False,True,False,False,False,False
-0.45071335927367057,-0.35720934338138227,False,False,False,True,False,False,False,False,False
-0.23476005188067442,0.6865287518071955,False,False,False,False,True,False,False,False,False
-0.5259403372243839,0.2997800365914187,False,False,False,False,True,False,False,False,False
0.5959792477302202,-0.13531226802633017,False,False,False,True,False,False,False,False,False
3.222438391699091,1.5540834706443747,False,False,False,False,False,False,False,True,False
-0.3592736705577173,-0.7613617507818691,False,False,False,True,False,False,False,False,False
-0.32490272373540857,0.25143644718944663,False,False,False,True,False,False,False,False,False
-0.030090791180285476,-1.3313326698311196,False,False,False,True,False,False,False,False,False
-0.31193255512321666,-2.1182536260590172,False,False,True,False,False,False,False,False,False
0.7905317769130995,-0.6833340199314851,False,False,False,False,False,True,False,False,False
-0.026588845654993747,-0.1401466269665271,False,False,False,True,False,False,False,False,False
1.9578469520103754,2.5953069713503756,False,False,False,False,False,False,False,False,True
0.36900129701686096,0.41113268694261834,False,False,False,False,False,True,False,False,False
-0.33138780804150464,0.07256516640214972,False,False,False,True,False,False,False,False,False
3.2743190661478585,2.0350969354229305,False,False,False,False,False,False,True,False,False
-0.3767833981841764,0.39646721539536295,False,False,False,True,False,False,False,False,False
-0.6621271076523993,0.20309285778747452,False,False,False,False,True,False,False,False,False
1.1277561608300903,0.9843471016801784,False,False,False,False,False,False,False,False,True
